OID,FID,COUNT,AREA,MAX
-1,3652,2,0.500000000000000,0.095999956130981
-1,3705,1,0.250000000000000,0.043631672859192
-1,3711,5,1.250000000000000,0.065999984741211
-1,3720,4,1.000000000000000,0.052106618881226
-1,3723,1,0.250000000000000,0.060999989509583
-1,3725,2,0.500000000000000,0.052000045776367
-1,3730,7,1.750000000000000,0.127060532569885
-1,3731,17,4.250000000000000,0.215083360671997
-1,3734,2,0.500000000000000,0.049000024795532
-1,3736,4,1.000000000000000,0.120083332061768
-1,3744,1,0.250000000000000,0.070999979972839
-1,3745,4,1.000000000000000,0.113999962806702
-1,3757,7,1.750000000000000,0.106000065803528
-1,3792,3,0.750000000000000,0.047000050544739
-1,3801,7,1.750000000000000,0.129687905311584
-1,3825,3,0.750000000000000,0.149957537651062
-1,3831,1,0.250000000000000,0.052769184112549
-1,3832,8,2.000000000000000,0.083769202232361
-1,3836,1,0.250000000000000,0.271865010261536
-1,3848,2,0.500000000000000,0.042999982833862
-1,3850,1,0.250000000000000,0.169000029563904
-1,3856,3,0.750000000000000,0.070999979972839
-1,3862,2,0.500000000000000,0.097000002861023
-1,3871,7,1.750000000000000,0.125338807702065
-1,3872,6,1.500000000000000,0.101908281445503
-1,3874,3,0.750000000000000,0.052999973297119
-1,3891,1,0.250000000000000,0.047000050544739
-1,3892,5,1.250000000000000,0.071833372116089
-1,3904,11,2.750000000000000,0.122956633567810
-1,3941,4,1.000000000000000,0.097769141197205
-1,3942,10,2.500000000000000,0.113339580595493
-1,3963,8,2.000000000000000,0.105769157409668
-1,3964,5,1.250000000000000,0.101999998092651
